index,title,director,cast,genres,Release Month,Release Date,Highest Grosser By Year(in crores)
1266,Kunwari Ya Vidhwa,"Pandit Sudarshan, Prafulla Roy","kapoor,zarina,kamla,fida,indubala,a,p,r,maya,devi,shahzadi,kabuli,khatoon,hussain",social,,,
1267,Laheri Jawan,Shanti Dave,"navinchandra,ghosh,haribhai,pawar,shivrani,shahzadi,mehtab",costume,,,
1268,Lal Cheetah,Dhirubhai Desai,"jagannath,hussein,lallubhai,fazlu,ata,mohanlal,mohamed,ansuya,ashiq,nayak,shahzadi,yakub",costume,,,
1269,Lal Chitthi,Niranjan Bharadwaj,"ramzan,khan,kaul,jehangir,tarabai,rajkumari,lallo,esmail,bhai,panna,m,alaknanda,jayant,j",social,,,
1270,Madan Manjari,Chhotubhai Desai,"jaan,zohra,manohar,raja,miss,rao,ghatwai,babu,sunder",fantasy,,,
1271,Magic Horse,"Babubhai Jani, Kanu Shukla, Raja Yagnik","navinchandra,shyam,bachchu,munshi,jilani,marutirao,haridas,alaknanda,mehtab,trikamlal",fantasy,,,
1272,Majnu,Roop K. Shorey,"khan,hukumsingh,kamla,mastana,shyama,majnu,mattu,begum,lewis,sultan,beg,mukhtiar,harold,zutshi",social,,,
1273,Mard-E-Maidan,Anant Desai,"kanta,napurkar,tipnis,azurie,gulzar,benjamin,m",costume,,,
1274,Maut Ka Toofan,Henry Dargwitch,"chande,kanta,bhutt,ghanekar,sultana,goswami,zebunissa,gulzar,f",social,,,
1275,Mera Pyara,Ezra Mir,"nawaz,vimla,jahanara,kajjan,patience,rajkumari,jagdish,sethi,cooper,krishnakant,akhtar",social,,,
1276,Mirza Sahiban,G. R. Sethi,"sarla,desa,amir,khursheed,inayat,ali,pervez,bhai,sohanlal,jan,chhailaram","folk,legend",,,
1277,Misar Ka Khazana,Rajhans,"shankar,jani,master,ganpat,balabhai,dulari,shivrani,prabha,zebunissa,sadiq,bakre,nissar,babu,sardar,akhtar",costume,,,
1278,Misar Ka Sitara,Minoo Katrak,"ebrahim,munni,baby,b,noor,parveen,kantilal,violet,jehan,bhim,cooper,bai,shahzadi,mapla",costume,,,
1279,Miss Manorama,Faredoon Irani,"jani,jahanara,kajjan,rajkumari,khalil,kashmiri,ghulam,agha,mustafa,pirjan",social,,,
1280,Mithi Nazar,Harshadrai Mehta,"pyari,kale,sohani,madhav,p,pathak,ram,brijmala,bhagwandas,g",social,,,
1281,Modern Girl,B. S. Rajhans,"master,swarup,bibijan,prabha,zebunissa,rani,nissar,shankar,balabhai",social,,,
1282,Murderer,G. R. Sethi,"khan,indubala,hamid,gul,mazhar,patience,cooper,lalita,nirala",social,,,
1283,Naganand,Y. V. Rao,"c,tarabai,ajambai,ramachandra,thacker,sadolikar,leelabai,chitalkar,wamanrao,paragaonkar",unknown,,,
1284,Navjeevan,M. D. Bhavnani,"khan,bhudo,n,advani,munnibai,abu,puri,bakar,l,s,ameena,w,m,gyani,khatoon,parashar",social,,,
1285,Naya Zamana,Homi Master,"jamshedji,heera,rasool,ahmed,mohammed,jilloobai,tahami,ghulam,syed,jumuna,chemist",social,,,
1286,Neela,B. Khandekar,"janardhan,mangala,rekha,roshanara,abhyankar,dixit,begum,surve",social,,,
1287,Nigah-E-Nafrat aka. Orphans Of The Storm,Master Vinayak,"shobhana,master,walavalkar,mainkar,wadkar,samarth,baburao,vinayak,manohar,indira,dhavale,bal,gundopant,pendharkar",social,,,
1288,Nirdoshi Abla,V. Ghaswala,"aziz,gangaram,kashinath,miss,iqbal,gulzar,mayuri,bhagwandas",social,,,
1289,Noor-e-Vatan,Jayant Desai,"adajania,charlie,ishwarlal,madhuri,apte,shanta,dixit,billimoria,keki,ram,e,ghory,khatoon",costume,,,
1290,Noore Yaman,JBH Wadia,"firoze,shroff,jal,husn,nadia,master,sharifa,firoza,atish,bismillah,mansur,boman,mohammed,begum,fearless,dastur,sayani,banu,sardar,khambatta",costume,,,
1291,Pardesi Saiyan,Baburao Patel,"mubarak,yasmin,pandit,khote,raja,azurie,bhaskar,padma,shirin,devi,nandu,sophia,surve",unknown,,,
1292,Payam-E-Ulfat,"A. R. Kabuli, Soni","kamla,kumari,baburao,a,violet,krishna,tara,ashraf,devi,cooper,chonker,r,kabuli",action,,,
1293,Preet Ki Reet,Baburao Apte,"lal,kamlabai,himmat,kanti,bhim,heerabai,madhukar",social,,,
1294,Prem Ki Ragini,Faredoon Irani,"effendi,surajram,jahanara,kajjan,jagdish,sethi,cawasji,yusuf",social,,,
1295,Prem Pujari,Rafiqe Ghaznavi,"bachchu,mumtaz,miss,esmail,zohrajan,ghaznavi,alaknanda,rafiqe",social,,,
1296,Pujarini aka. Dancer Of The Temple,Nandlal Jaswantlal,"jamshedji,d,rasool,vyas,sulochana,ahmed,jilloobai,billimoria,jamuna,lakshmi,ghulam,myers,baba,syed,ruby","costume,drama",,,
1297,Pyar Ki Maar,A. P. Kapoor,"kapoor,bhudo,gohar,nayampalli,advani,abu,bakar,yagnik,karnataki,a,p,vidya,bibbo,devi,navin,khatoon,parashar",costume,,,
1298,Pyara Dushman,"R. G. Torney, Amir Ali","vasantrao,rashid,sundarabai,ramesh,dilip,nazir,menaka,pehalwan",action,,,
1299,Raat Ki Baat,Gunjal,"rasool,ahmed,dulari,vyas,jilloobai,mohammed,ghulam,baba,syed,lalita,abdul,heerabai",costume,,,
1300,Raat Ki Rani,Raja Sandow,"charlie,ishwarlal,shanta,indira,dixit,azurie,raja,ghory,khatoon,sandow",social,,,
1301,Raj Tarang,M. R. Kapoor,"putli,ermeline,master,azurie,vithal,varne,gulzar,salvi,alaknanda","action,drama",,,
1302,Raj Mukut,Govindrao Tembe,"joshi,sundari,kale,vinayak,tembe,ameena,k,vasudev,g",costume,,,
1303,Rang Bhoomi,N. G. Deware,"ragini,ebrahim,mirajkar,fatima,begum,jamuna,vaidya",social,,,
1304,Rangila Nawab,N. Majumdar,"dinkar,master,d,hanumant,rao,vithal,azurie,nurjahan,p,varne,s,salvi",social,,,
1305,Rashida,Ezra Mir,"effendi,kamlabai,mohammed,kajjan,jahanara,jagdish,mahajabeen,sethi,sheela,qadir,hussain,yusuf",social,,,
1306,Ratan Manjari,J. Arasthani,"putli,samarth,rao,raja,azurie,shantaram,khatu,dongre,shankar,sandow",fantasy,,,
1307,Registan Ki Rani aka. Desert Queen,A. P. Kapoor,"jal,sudhir,kamla,kumari,soni,bakar,baburao,lakshmi,sr,krishna,devi,sitara,abu,khatoon",costume,,,
