index,title,director,cast,genres,Release Month,Release Date,Highest Grosser By Year(in crores)
4222,Leader,Unknown,"vyjantimala,kumar,dilip",unknown,,,
4223,Magic Carpet,Unknown,unknown,unknown,,,
4224,Mahasati Anusuya,Unknown,unknown,unknown,,,
4225,Mahasati Behula,Unknown,unknown,unknown,,,
4226,Maikhana,Unknown,unknown,unknown,,,
4227,Main Bhi Ladki Hoon,Unknown,unknown,unknown,,,
4228,Main Suhagan Hoon,Unknown,"sinha,mala",unknown,,,
4229,Majboor,Unknown,"naaz,waheeda,rehman,biswajeet",unknown,,,
4230,Mera Qasoor Kya Hai,Unknown,nanda,unknown,,,
4231,Mr. X in Bombay,Unknown,"kishore,kumar,kumkum",unknown,,,
4232,Phoolon Ki Sej,Unknown,"vyjanthimala,manoj,kumar,ashok",unknown,,,
4233,Picnic,Unknown,unknown,unknown,,,
4234,Pooja Ke Phool A. Bhimsingh,Unknown,"sinha,mala,pran",unknown,,,
4235,Punar Milan,Unknown,unknown,unknown,,,
4236,Qawwali Ki Raat,Unknown,unknown,unknown,,,
4237,Rahul,Unknown,unknown,unknown,,,
4238,Rajkumar,K. Shankar,"kapoor,rajendranath,pran,shammi,sadhana","musical,action",,,
4239,Roop Sundari,Unknown,unknown,unknown,,,
4240,Rustom-E-Rome,Unknown,unknown,unknown,,,
4241,Samson,Nanabhai Bhatt,"khan,dara,mohan,b,ameeta,mumtaz,vyas,choti,feroz,m,singh",unknown,,,
4242,Sangam,Raj Kapoor,"kapoor,rajendra,vyjayanthimala,kumar,raj",social,,,
4243,Sanjh Aur Savera,Hrishikesh Mukherjee,unknown,unknown,,,
4244,Sant Gyaneshwar,Unknown,unknown,unknown,,,
4245,Sarfarosh,Unknown,unknown,unknown,,,
4246,Sati Savitri,Shantilal Soni,"jeevan,mahipal",religious,,,
4247,Shabnam,Aspi Irani,"mehmood,helen",unknown,,,
4248,Shagoon,Nazir,"waheeda,rehman",unknown,,,
4249,Sharabi,Rajrishi,"dev,mohan,madhubala,anand,prasad,daisy,pawar,sulochana,ravikant,radhakrishan,irani,ram,badri,lalita,pardesi","social,romance",,,
4250,Shehnai,S. D. Narang,"chhaya,asit,choudhary,walker,sapru,biswajeet,praveen,chand,irani,johnny,iftekhar,honey,rajshree,usmani,laxmi,sen,roy,nirupa","social,family,drama",,,
4251,Subhadra Haran,Datta Dharamadhikari,"sarnaik,arun,modak,shahu,jayshree,chitra,gadkar,suryakant",mythology,,,
4252,Tarzan Aur Jalpari,Unknown,unknown,unknown,,,
4253,Tere Dwaar Khada Bhagwan,Unknown,unknown,unknown,,,
4254,Veer Bhimsen,Unknown,unknown,unknown,,,
4255,Woh Kaun Thi?,Raj Khosla,"prem,manoj,kumar,chopra,sadhana",horror,,,
4256,Yaadein,Unknown,"dutt,sunil",unknown,,,
4257,Ziddi,Unknown,"joy,mukherjee,asha,parekh",unknown,,,
4258,Zindagi,Unknown,"vyjantimala,rajendra,kumar",unknown,,,
4259,Aadhi Raat Ke Baad,Nanabhai Bhatt,"murad,ragini,sailesh,sajjan,kumar,ulhas,ashok",unknown,,,
4260,Aasmaan Mahal,K. A. Abbas,"kapoor,nana,dilip,kumar,prithviraj,palsikar",unknown,,,
4261,Akashdeep,Phani Majumdar,"mehmood,nanda,kumar,dharmendra,ashok",unknown,,,
4262,Arzoo,Ramanand Sagar,"khan,rajendra,sadhana,kumar,feroz,nazima",unknown,,,
4263,Bedaag,R. Bhattacharya,"nanda,kumar,manoj",unknown,,,
4264,Bekhabar,Nanabhai Bhatt,unknown,unknown,,,
4265,Bharat Katha,Unknown,unknown,unknown,,,
4266,Bharat Milaap,Babubhai Mistri,unknown,unknown,,,
4267,Bheegi Raat,Kalidas,"meena,pradeep,kumari,shashikala,kumar,ashok",unknown,,,
4268,Bhoot Bungla,Mehmood,"mehmood,d,burman,r,tanuja",unknown,,,
4269,Birthday,Unknown,unknown,unknown,,,
4270,Bombay Race Course,Kedar Kapoor,unknown,unknown,,,
4271,Boxer,Radhakant,"dara,singh,mumtaz",unknown,,,
4272,Chand Aur Suraj,Dulal Guha,"ashok,kumar,tanuja,dharmendra,roy,nirupa",unknown,,,
4273,Chhoti Chhoti Baatein,Motilal,"nadira,motilal,mishra,leela",unknown,,,
4274,Do Dil,Hrishikesh Mukherji,"rajshree,biswajit,pran",unknown,,,
4275,Ek Saal Pehle,Dharam Kumar,"sujit,khan,helen,sayeeda,kumar,sunder",unknown,,,
4276,Ek Sapera Ek Lutera,Naresh Kumar,"khan,feroz",unknown,,,
4277,Faisla,Jugal Kishore,"mukhtar,jeevan,sheikh,helen",unknown,,,
4278,Faraar,Pinaki Mukherji,unknown,unknown,,,
4279,Fear,Unknown,unknown,unknown,,,
4280,A Great Day,Unknown,unknown,unknown,,,
4281,Guide,Vijay Anand,"dev,waheeda,sahu,anand,kishore,rehman",musical,,,
4282,Gumnaam,Raja Nawathe,"mehmood,nanda,manoj,helen,kumar,pran","musical,thriller",,,
4283,Himalaya Ki God Mein,Vijay Bhatt,"sinha,mala,kumar,manoj",unknown,,,
4284,Hum Diwane,Bhagwan,"chandrashekhar,helen,bhagwan,mumtaz",unknown,,,
4285,Hum Sab Ustad Hain,Maruti,"ameeta,kishore,sheikh,kumar,mukhtar",unknown,,,
4286,Janwar,Bhappi Sonie,"kapoor,rajendra,nath,shammi,rajshree",musical,,,
4287,Jab Jab Phool Khile,Suraj Prakash,"shashi,nanda,kapoor,agha",musical,,,
4288,Jadui Angoothi,Unknown,unknown,unknown,,,
4289,Jahan Sati Wahan Bhagwan,Satish Kumar,unknown,unknown,,,
4290,Janam Janam Ke Saathi,Nand Kishore,"kaushal,premnath,pawar,kamini,lalita",unknown,,,
4291,Johar-Mehmood in Goa,Unknown,"mehmood,i,simi,sonia,johar,s,garewal,sahni",comedy,,,
4292,Kaajal,Ram Maheshwari,"meena,kumari,padmini,kumar,raaj,dharmendra",social,,,
4293,Khakaan,Aspi Irani,"kapoor,dara,ratnamala,mumtaz,prithviraj,singh",unknown,,,
4294,Khandan,Bhim Singh,"sudesh,kumar,pran,dutt,nutan,sunil",unknown,,,
4295,Lutera,Harbans Singh,"kapoor,dara,prithviraj,nishi,singh",unknown,,,
4296,Mahabharat,Babubhai Mistri,"pradeep,dara,padmini,kumar,singh","religious,history",,,
4297,Main Hoon Aladdin,Mohammed Husaain,"khan,madan,puri,sayeeda,ajit",unknown,,,
4298,Main Hoon Jadugar,Jugal Kishore,"tiwari,jairaj,tuntun",unknown,,,
4299,Mere Sanam,Amar Kumar,"pran,asha,biswajit,parekh",unknown,,,
4300,Mohabbat Isko Kehte Hain,Akhtar Mirza,"shashi,nanda,kapoor",unknown,,,
4301,Nai Umar Ki Nai Fasal,R. Chandra,"rajeev,tanuja",unknown,,,
4302,Namaste Ji,Daljit Krishan,"mehmood,i,manorama,ameeta,johar,s",unknown,,,
4303,Naya Kanoon,R.C. Talwar,"bharat,vyjayanthimala,bhushan,kumar,ashok",unknown,,,
4304,Neela Aakash,Rajendra Bhatia,"sinha,mala,dharmendra",unknown,,,
4305,Nishan,Aspi Irani,"sheikh,kumar,sanjeev,shammi,mukhtar,nazima",unknown,,,
4306,Noor Mahal,Noshir Engineer,"lalita,desai,madhumati,jagdeep",unknown,,,
4307,Oonche Log,Phani Majumdar,"khan,feroz,kumar,ashok",unknown,,,
4308,Poonam Ki Raat,Kishore Sahu,"kumar,kumud,manoj,chugani",unknown,,,
4309,Purnima,Narendra Suri,"meena,kumari,dharmendra",unknown,,,
4310,Raaka,Kedar Kapoor,"n,dara,mumtaz,k,singh",unknown,,,
4311,Rendezvous,Unknown,unknown,unknown,,,
4312,Rishte Naate,K. S. Gopal Krishnan,"nutan,raaj,kanhaiyalal,kumar",unknown,,,
4313,Rustom-E-Hind,Kedar Kapoor,"chhaya,dara,mumtaz,laxmi,singh",unknown,,,
4314,Saat Samundar Paar,Mohammed Husaain,"ulhas,dara,singh,ameeta",unknown,,,
4315,Saheli,Arjun Hingorani,"pradeep,tun,chowdhary,kumar,vijaya",unknown,,,
4316,Sangram,Babubhai Mistri,"dara,randhawa,aruna,singh,irnai",unknown,,,
4317,Sati Nari,Pankaj,"anita,sunder,jeevan,guha",unknown,,,
4318,Shaheed,S. Ram Sharma,"prem,kaushal,manoj,kumar,pran,kamini,chopra,roy,nirupa","patriotic,revolutionary",,,
4319,Shakespeare Wallah,Unknown,unknown,unknown,,,
4320,Shankar Seeta Anusuya,Manibhai Vyas,unknown,unknown,,,
4321,Sher Dil,Chand,"dara,bhagwan,chaudhary,parveen,singh",unknown,,,
4322,Shree Ram Bharat Milap,Manibhai Vyas,"kapoor,kumar,prithviraj,raaj,vanmala,roy,nirupa",unknown,,,
4323,Shreeman Funtoosh,Shantilal Soni,"kishore,kumar,kumkum",unknown,,,
4324,Sikandar E Azam,Kedar Kapoor,"kapoor,dara,mumtaz,premnath,prithviraj,singh",unknown,,,
4325,Sindbad Alibaba and Aladdin,P.N. Arora,"pradeep,khan,helen,sayeeda,kumar,bhagwan",unknown,,,
4326,Tarzan and King Kong,A. Shamsheer,"dara,singh,bhagwan,mumtaz",unknown,,,
4327,Teen Devian,Unknown,"nanda,dev,anand,simi,garewal,kalpana",musical,,,
4328,Teen Sardar,Radhakant,"parveen,randhawa,chaudhary",unknown,,,
4329,Teesra Kaun,Mohammed Hussain,"khan,rajan,haksar,pran,feroz,shahsikala,kalpana",unknown,,,
4330,Waqt,Yash Chopra,"shashi,kapoor,balraj,sachdev,kumar,dutt,sunil,raaj,sharmila,sahni,achla,tagore,sadhana",unknown,,,
4331,Zindagi Aur Maut,N.A.Ansari,"pradeep,faryal,kumar,bela,bose",unknown,,,
4332,Akalmand,Unknown,"dev,i,anand,kishore,kumar,sonia,johar,s,sahni",unknown,,,
4333,Aaye Din Bahar Ke,J Om Prakash,"asha,dharmendra,nazima,parekh",unknown,,,
4334,Afsana,B R Chopra,"pradeep,padmini,kumar,ashok",unknown,,,
4335,Amrapali,Lekh Tandon,"dutt,sunil,vyjayanthimala",biopic,,,
4336,Anupama,Hrishikesh Mukherjee,"shashikala,dharmendra,verma,sharmila,deven,tagore",unknown,,,
4337,Badal,Unknown,"sanjeev,kumar",unknown,,,
4338,Bahadur Daku,Unknown,unknown,unknown,,,
4339,Baharen Phir Bhi Aayengi,Shaheed Latif,"sinha,mala,tanuja,dharmendra,rehman",unknown,,,
4340,Bandar Mera Sathi,Unknown,unknown,unknown,,,
4341,Biradari,Ram Kamlani,"shashi,kapoor,pawar,faryal,pran,lalita",unknown,,,
4342,Biwi Aur Makaan,Unknown,"mehmood,kalpana,shabnam,biswajeet",unknown,,,
4343,Budtameez,Manmohan Desai,"kapoor,sadhana,shammi",unknown,,,
4344,Chale Hain Sasural,Unknown,unknown,unknown,,,
4345,Chhota Bhai,Unknown,"nutan,rehman",unknown,,,
4346,Daadi Maa,L V Prasad,"rai,bina,kumar,ashok",unknown,,,
4347,Daku Mangal Singh,Unknown,unknown,unknown,,,
4348,Devar,Mohan Sehgal,"shashikala,dharmendra,verma,sharmila,deven,tagore",unknown,,,
4349,Dus Lakh,Unknown,"prakash,sanjay,om,babita",unknown,,,
4350,Do Badan,Unknown,"asha,manoj,parekh,kumar,pran",unknown,,,
4351,Do Dilon Ki Dastaan,Unknown,unknown,unknown,,,
4352,Gaban,Hrishikesh Mukherjee,"dutt,sunil,sadhna",social,,,
4353,Hum Kahan Ja Rahe Hain,Unknown,unknown,unknown,,,
4354,Husn Aur Ishq,Naresh Kumar,"bansal,vijayalakshmi,l,indira,kumar,sanjeev,billi",unknown,,,
4355,Husn Ka Ghulam,Unknown,unknown,unknown,,,
4356,Insaaf,Unknown,"kapoor,dara,tun,helen,chowdhury,pawar,azad,praveen,prithviraj,kammo,tiger,johnny,lalita,joginder,singh,whisky",unknown,,,
4357,Jawan Mard,Unknown,unknown,unknown,,,
4358,Johar in Kashmir,I. S. Johar,"rajan,i,haksar,mumtaz,begum,johar,s",unknown,,,
4359,Laadla,Unknown,unknown,unknown,,,
4360,Labela,Unknown,unknown,unknown,,,
4361,Ladka Ladki,Som Kaskar,"kishore,bhagwan,kumar,mumtaz",unknown,,,
4362,Ladki Sahyadri Ki,V. Shantaram,"shalini,dighe,baburao,deshmukh,abhyankar,kumar,keshavrao,solanki,vatsala,pendharkar,ganesh,sandhya,date","social,drama",,,
4363,Love in Tokyo,Unknown,"asha,parekh,pran,joy,mukerjee",unknown,,,
4364,Love and Murder,Unknown,unknown,unknown,,,
4365,Mera Saaya,Unknown,"prem,dutt,sunil,chopra,sadhna",unknown,,,
4366,Mohabbat Zindagi Hai,Unknown,"rajshree,dharmendra,ali,mehmood",unknown,,,
4367,Neend Hamari Khwab Tumhare,Unknown,unknown,unknown,,,
4368,Phool Aur Paththar,Unknown,unknown,unknown,,,
4369,Pyaar Kiye Jaa,Unknown,unknown,unknown,,,
4370,Sagaai,Unknown,"rajshree,chatterjee,shantaram,biswajeet",unknown,,,
4371,Sannata,Unknown,unknown,unknown,,,
4372,Sau Saal Baad,Unknown,unknown,unknown,,,
4373,Sawan Ki Ghata,Unknown,"manoj,kumar,pran,sharmila,tagore",unknown,,,
4374,Shankar Khan,Unknown,unknown,unknown,,,
4375,Shera Daku,Unknown,unknown,unknown,,,
4376,Smuggler,Unknown,unknown,unknown,,,
4377,Sunhera Jaal,Unknown,unknown,unknown,,,
4378,Suraj,T. Prakash Rao,"khan,rajendra,mumtaz,vyjayanthimala,kumar,ajit",unknown,,,
4379,Tarzan Aur Jadui Chirag,Unknown,unknown,unknown,,,
4380,Tasveer,Unknown,"khan,feroz,kalpana",unknown,,,
4381,Teesri Kasam,Unknown,"kapoor,raj,waheeda,rehman",unknown,,,
4382,Teesri Manzil,Vijay Anand,"kapoor,prem,asha,randhir,helen,parekh,nath,shammi",unknown,,,
4383,Thakur Jarnail Singh,Unknown,unknown,unknown,,,
4384,Toofan Mein Pyaar Kahan,Phani Majumdar,"kumar,ashok",unknown,,,
4385,Uski Kahani,Unknown,unknown,unknown,,,
4386,Yatrik,Unknown,unknown,unknown,,,
4387,Yeh Raat Phir Na Aayegi,Unknown,"shailash,mumtaz,biswajeet,kumar,sharmila,tagore",unknown,,,
4388,Yeh Zindagi Kitni Haseen Hai,"Joy Mukherjee, Ashok Kumar, Saira Banu",unknown,unknown,,,
4389,Zimbo Ka Beta,Unknown,unknown,unknown,,,
4390,6.40 PM,Unknown,unknown,unknown,,,
4391,Aag,Unknown,unknown,unknown,,,
4392,Aamne Samne,Suraj Prakesh,"shashi,kapoor,prem,sharmila,chopra,tagore",musical,,,
4393,Aman,Unknown,"rajendra,kumar","social,war",,,
4394,An Evening in Paris,Unknown,"kapoor,pran,sharmila,shammi,tagore",unknown,,,
4395,Anita,Unknown,"i,manoj,kumar,johar,s,sadhana",suspense,,,
4396,Around the World,Unknown,"kapoor,rajshree,raj,pran",unknown,,,
4397,Aurat,Unknown,"khan,padmini,rajesh,pran,khanna,feroz",unknown,,,
4398,Badrinath Yatra,Unknown,unknown,unknown,,,
4399,Baghdad Ki Raatein,Unknown,unknown,unknown,,,
4400,Baharon Ke Sapne,"Nasir Hussain, Asha Parekh, Rajesh Khanna",unknown,unknown,,,
4401,Bahu Begum,M. Sadiq,"pradeep,meena,kumari,kumar,ashok",drama,,,
4402,Bhakta Prahlada,Unknown,unknown,unknown,,,
4403,Boond Jo Ban Gayee Moti,V. Shantaram,"mumtaz,deep,jeetendra,pawar,akash,palsikar,nana,vaishali,lalita","crime,social,drama",,,
4404,C.I.D. 909,Unknown,unknown,unknown,,,
4405,Chand Par Chadayee,Unknown,unknown,unknown,,,
4406,Chandan Ka Palna,Unknown,"meena,kumari,dharmendra",unknown,,,
4407,Chhaila Babu,Unknown,unknown,unknown,,,
4408,Chhotisi Mulaqat,Unknown,"vyjayanthimala,uttam,kumar",unknown,,,
4409,Dharti Ki Pukar,Unknown,unknown,unknown,,,
4410,Dil Ne Pukara,Unknown,unknown,unknown,,,
4411,Dilruba,Unknown,unknown,unknown,,,
4412,Diwana,Unknown,"kapoor,banu,raj,saira",unknown,,,
4413,Do Dushman,Unknown,unknown,unknown,,,
4414,Dulhan Ek Raat Ki,Unknown,"nutan,dharmendra,rehman",unknown,,,
4415,Duniya Nachegi,Unknown,unknown,unknown,,,
4416,Farz,Ravikant Nagaich,"jeetendra,babita",unknown,,,
4417,Gautama the Buddha,Unknown,unknown,unknown,,,
4418,Ghar Ka Chiraag,Unknown,dharmendra,unknown,,,
4419,Gunahon Ka Devta,Unknown,"jeetendra,chitnis,leela,shantaram,rajshree",unknown,,,
4420,Gunehgar,Unknown,unknown,unknown,,,
4421,Hamare Gam Se Mat Khelo,Unknown,unknown,unknown,,,
4422,Hamraaz,B.R. Chopra,"vimi,kumar,dutt,sunil,raaj","musical,suspense",,,
4423,Hare Kanch Ki Chooriyan,Unknown,unknown,unknown,,,
4424,Hatey Bazarey,Unknown,unknown,unknown,,,
4425,Hum Do Daku,Unknown,unknown,unknown,,,
4426,Jaal,Unknown,"sinha,mala,biswajeet",unknown,,,
4427,Jab Yaad Kisi Ki Aati Hai,Unknown,"sinha,mala,dharmendra",unknown,,,
4428,Jewel Thief,Vijay Anand,"anand,dev,vijayanthimala",unknown,,,
4429,Johar in Bombay,Unknown,unknown,unknown,,,
4430,Lamboo in Hong Kong,Unknown,unknown,unknown,,,
4431,Latt Saheb,Unknown,"kapoor,shammi,nutan",unknown,,,
4432,Lav-Kush,Unknown,unknown,unknown,,,
4433,Majhli Didi,Unknown,"meena,kumari,dharmendra",unknown,,,
4434,Maya Sundari,Unknown,unknown,unknown,,,
4435,Meherbaan,Unknown,"kumar,nutan,dutt,sunil,ashok",unknown,,,
4436,Mera Bhai Mera Dushman,Unknown,unknown,unknown,,,
4437,Mera Munna,Unknown,unknown,unknown,,,
4438,Milan,Unknown,"prakash,pran,dutt,nutan,sunil,om",unknown,,,
4439,Milan Ki Raat,Unknown,unknown,unknown,,,
4440,Nai Roshni,Unknown,"sinha,mala,kumar,biswajeet,tanuja,ashok",unknown,,,
4441,Naunihaal,Unknown,unknown,unknown,,,
4442,Nawab Siraz-ud-Daula,Unknown,unknown,unknown,,,
4443,Naya Raasta,Unknown,unknown,unknown,,,
4444,Night in London,Unknown,"sinha,mala,biswajeet",unknown,,,
4445,Noorjehan,Unknown,unknown,unknown,,,
4446,Palki,Unknown,"rajendra,waheeda,rehman,kumar",unknown,,,
4447,Patthar Ke Sanam,Unknown,"waheeda,manoj,mumtaz,kumar,pran,rehman",unknown,,,
4448,Raat Aur Din,Unknown,"dutt,kumar,nargis,pradeep",unknown,,,
4449,Raaz,Unknown,"babita,rajesh,khanna",unknown,,,
4450,Ram Aur Shyam,Unknown,"waheeda,mumtaz,kumar,dilip,pran,rehman",unknown,,,
4451,Ram Rajya,Vijay Bhatt,"jalal,farida,rai,prasad,bina,kumar,jay,vijay,sen,anil,badri,kanhaiyalal",religious,,,
4452,Sardar,Unknown,unknown,unknown,,,
4453,Shagird,Unknown,"bano,joy,mukherjee,saira",unknown,,,
4454,Shamsher,Unknown,unknown,unknown,,,
4455,Taqdeer,Unknown,unknown,unknown,,,
4456,Upkar,Manoj Kumar,"prem,asha,manoj,parekh,madan,puri,kanhaiya,kumar,pran,chopra,lal",social,,,
4457,Wahan Ke Log,Unknown,unknown,unknown,,,
4458,Woh Koi Aur Hoga,Unknown,unknown,unknown,,,
4459,Aabroo,C L Rawal,"vimi,tun,deepak,pawar,nirupa,kumar,mukri,jeevan,lalita,sunder,rehman,roy,ashok","romantic,melodrama",,,
4460,Aadmi,A. Bhim Singh,"waheeda,mohan,manoj,simi,choti,sulochana,kumar,dilip,pran,ulhas,agha,garewal,rehman",drama,,,
4461,Aanchal Ke Phool,Karunesh Thakur,"kaushal,madan,puri,sunder,ulhas,chand,kamini,jeevan,usmani,jayant","social,family,drama",,,
4462,Aashirwad,Hrishikesh Mukherjee,"harindranath,sumita,bhattacharya,chattopadhyay,veena,gupta,kumar,sajjan,sarika,samar,sanyal,sanjeev,bipin,ashim,abhi,roy,ashok","family,melodrama",,,
4463,Aankhen,Ramanand Sagar,"mehmood,sujit,kumkum,sinha,mala,daisy,pawar,kumar,nazir,irani,lalita,dharmendra,hussain",thriller,,,
4464,Abhilasha,Amit Bose,"meena,khan,nanda,kumari,murad,mohan,choti,sulochana,sanjay,agha,rehman","family,drama",,,
4465,Anjam,Shiv Kumar,"khan,n,shahida,helen,azad,a,feroz,ansari,johnny,jeevankala,sunder,whisky","action,thriller",,,
4466,Anokhi Raat,Asit Sen,"anwar,tarun,zaheeda,prasad,keshto,kumar,ajay,aruna,sanjeev,mukherjee,irani,mukri,sahni,badri,parikshit,bose",drama,,,
4467,Apna Ghar Apni Kahani,Phani Majumdar,"sudhir,mumtaz,rai,keshto,bina,mukherjee,bela,david,shekhar,madhumati,bose","social,family,drama",,,
4468,Aulad,Kundan Kumar,"mehmood,sujit,achala,sachdev,helen,jeetendra,sulochana,kumar,aruna,nazir,chatterjee,irani,manmohan,babita,jeevan,hussain","family,drama",,,
4469,Baazi,Moni Bhattacharya,"mehmood,n,waheeda,helen,amar,walker,a,hussain,nazir,ulhas,ansari,johnny,manmohan,dharmendra,rehman","suspense,romance,thriller",,,
4470,Baharon Ki Manzil,Y. H. Rizvi,"meena,anwar,kumari,jalal,farida,tun,hussain,hashmi,wasti,dharmendra,rehman","family,drama",,,
4471,Balram Shri Krishna,Chandrakant,"dara,modak,premnath,shahu,gadkar,jayshree,randhawa,aruna,gitanjali,irani,singh,savitri",mythology,,,
4472,Bambai Raat Ki Bahon Mein,K A Abbas,"vimal,madhavi,jalal,hangal,ahuja,david,a,k,agha,jeevan,surekha,persis,khambatta",social,,,
4473,Brahmachari,Bhappi Sonie,"kapoor,mehmood,mohan,asit,sachin,krishan,mumtaz,farida,choti,dhawan,pilgaonkar,pran,jagdeep,sen,shammi,manmohan,rajshree,dadi,dhumal,jr","social,drama",,,
4474,CID Agent 302,S. Azim,"mohan,tun,bano,narbada,sherry,bhopali,baby,azad,indira,shakila,raje,ram,billi,shamkar,birju","spy,thriller",,,
4475,Dil Aur Mohabbat,Anand Datta,"walker,kumar,purnima,jankidas,mukherjee,pilgaonkar,singh,tun,sharmila,johnny,tagore,hussain,bose,ashok,n,jagirdar,sachin,nazir,k,bela,anoop,joy,gajanan","suspense,romance,thriller",,,
4476,Do Dooni Char,Debu Sen,"khan,asit,rashid,kishore,kumar,bhaduri,lata,sen,iftekhar,tanuja,arora,surekha,chandrima,singh,neetu","drama,comedy",,,
4477,Do Kaliyaan,"R. Krishnan, S. Panju","mehmood,baby,nigar,prakash,sinha,mala,soniya,manorama,biswajeet,bharathi,sonia,shabnam,sahni,sultana,singh,neetu,om","drama,family,comedy",,,
4478,Duniya,T. Prakash Rao,"prem,chhaya,dev,balraj,madan,vyjayanthimala,puri,anand,walker,pawar,nana,palsikar,sulochana,jagdish,chopra,sahni,johnny,lalita,raj,laxmi","romantic,thriller",,,
4479,Ek Kali Muskai,Vasant Joglekar,"mehmood,malika,meera,prakash,joglekar,nirupa,kumar,pawar,bina,nana,mukherjee,palsikar,om,lalita,joy,sunder,roy,ashok","social,drama,romance",,,
4480,Ek Phool Ek Bhool,Kedar Kapoor,"n,dev,sudhir,shankar,mohan,madan,helen,puri,dulari,kumar,narmada,k,zeb,ram,sunder,singh,rehman,jayanti",social,,,
4481,Ek Raat,Rajnath,"chhaya,madan,helen,shyama,puri,simi,sheikh,kumar,samson,nazir,ravi,david,mukhtar,laxmi,kashmiri","suspense,thriller",,,
4482,Fareb,Jugal Kishore,"n,dev,rajan,haksar,kumar,faryal,kundan,a,bela,maruti,ansari,sushma,bose",thriller,,,
4483,Farishta,Kedar Kapoor,"mehmood,shahid,dev,jagirdar,master,tun,kumar,nivedita,sudhir,jr,gajanan",drama,,,
4484,Gauri,A. Bhim Singh,"chhaya,rajendra,urmila,mumtaz,prakash,bhatt,kumar,nath,dutt,nutan,sanjeev,sunil,leela,ashim,laxmi,mishra,om",melodrama,,,
4485,Golden Eyes Secret Agent 077,Kamal Sharma,"asit,sailesh,helen,mumtaz,b,bakar,vyas,sheikh,kumar,ulhas,nazir,ravi,shabnam,sen,m,abu,kashmiri,madhumati","spy,action,thriller",,,
4486,Har Har Gange,Babubhai Mistry,"n,tun,b,helen,bhattacharya,sulochana,vyas,kumar,s,mahesh,bharathi,abhi,tripathi,polson,jeevan,m,raj,desai,madhumati",religious,,,
4487,Haseena Maan Jayegi,Prakash Mehra,"shashi,kapoor,ameeta,amar,walker,sharma,johnny,manmohan,babita,sapru,niranjan",romance,,,
4488,Haye Mera Dil,Ved Madan,"prem,chhaya,mehra,i,madan,kumkum,puri,paul,kishore,kumar,chopra,johar,s,parveen,laxmi,raj",comedy,,,
4489,Humsaya,Joy Mukherjee,"jagirdar,malika,sinha,mala,gajanan,mukherjee,sharmila,polson,sapru,joy,tagore,rehman","spy,drama,romantic",,,
4490,Izzat,T. Prakash Rao,"mehmood,balraj,jayalalithaa,pawar,devika,david,mukri,sahni,tanuja,tiwari,lalita,dharmendra",social,,,
4491,Jawab Aayega,"Ismat Chugtai, Shahid Lateef",unknown,child,,,
4492,Jhuk Gaya Aasman,Lekh Tandon,"rajendra,kumar,nath,prem,kapoor,khote,avatar,chopra,myers,narendranath,shivdasani,durga,saira,choudhary,hari,david,ram,ruby,jagirdar,parveen,banu,gajanan,kamal","fantasy,drama,romantic",,,
4493,Juari,Suraj Prakash,"shashi,nanda,kapoor,madan,achala,naaz,puri,sachdev,sulochana,david,agha,tanuja,kalpana,rehman,kamal",melodrama,,,
4494,Jung Aur Aman,Nanabhai Bhatt,"chhaya,murad,dara,kumari,nadira,rajan,mumtaz,haksar,mohan,choti,randhawa,krishna,laxmi,jayant,singh",action,,,
4495,Kahin Aur Chal,Vijay Anand,"dev,asha,madan,parekh,puri,anand,raj,khote,jagdish,shobha,sunder","drama,romantic",,,
4496,Kahin Din Kahin Raat,Darshan,"murad,malika,mohan,nadira,helen,habib,sapna,choti,walker,veena,biswajeet,pran,gupta,avatar,johnny,ram,bipin","action,thriller",,,
4497,Kanyadaan,Mohan Sehgal,"sehgal,dileep,khan,sabita,prakash,sachdev,rashid,chayya,kapoor,asha,gopal,raj,shashi,sarita,tun,achala,sayeeda,chatterjee,laxmi,kashmiri,om,khatau,parekh,nazir","social,romantic,melodrama",,,
4498,Khiladi,Homi Wadia,"sabita,khan,nadia,uma,habib,dilip,suzie,fearless,vishwas,w,kunte,m,raj",action,,,
4499,Kismat,Manmohan Desai,"murad,mehra,tun,helen,shetty,biswajeet,ulhas,jagdish,polson,hari,babita,raj,hiralal,shivdasani,kamal","suspense,romance,thriller",,,
4500,Lady Killer,B. J. Patel,"sarnaik,aroon,arvind,helen,rathod,satyen,shabnam,nilofar,david,rani,kappu","action,thriller",,,
4501,Lahoo Pukarega,S. N. Tripathi,"sujit,khan,tabassum,habib,noorjehan,salim,madhumaliti,kumar,kundan,shabnam,rani,sunder",action,,,
4502,London Express,B. J. Patel,"kapoor,rajan,arvind,shri,habib,bond,joni,rathod,bhagwan","costume,action",,,
4503,Lutera Aur Jadugar,D. Raman,"rajan,tabassum,mohan,noorjehan,haksar,heera,choti,azad,jagdeep,nishi,sawant","fantasy,action",,,
4504,Man Ka Meet,A. Subba Rao,"vinod,chandavarkar,leena,achala,prakash,sachdev,rajendranath,deo,manorama,ramesh,khanna,dutt,nana,palsikar,kumar,ashim,shammi,som,om","action,romance",,,
4505,Mata Mahakali,Dhirubhai Desai,"modak,b,ashish,bhatt,shahu,chonkar,vyas,actor,jayshree,kumar,sharma,mahesh,polson,m,gadkar,niranjan,nalini",mythology,,,
